country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region,lag1_resistance,lag2_resistance,lag3_resistance,rolling3_mean_resistance,delta_resistance,lag1_total_DDD,lag1_watch_proportion,antibiotic_pressure_index,ses_risk_score
Belarus,K_pneumoniae_CARB,2017,K_pneumoniae,CARB,0.0,30.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,K_pneumoniae_CARB,2018,K_pneumoniae,CARB,0.0,15.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,K_pneumoniae_FQ,2017,K_pneumoniae,FQ,80.0,30.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,56.52173913043478,56.52173913043478,56.52173913043478,56.52173913043478,23.47826086956522,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,K_pneumoniae_FQ,2018,K_pneumoniae,FQ,73.33333333333333,15.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,80.0,56.52173913043478,56.52173913043478,68.26086956521739,-6.666666666666671,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,K_pneumoniae_OTHER,2017,K_pneumoniae,OTHER,0.0,30.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,K_pneumoniae_OTHER,2018,K_pneumoniae,OTHER,0.0,15.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,K_pneumoniae_TET,2017,K_pneumoniae,TET,36.666666666666664,90.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,32.608695652173914,32.608695652173914,32.608695652173914,32.608695652173914,4.05797101449275,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,K_pneumoniae_TET,2018,K_pneumoniae,TET,26.666666666666668,45.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,36.666666666666664,32.608695652173914,32.608695652173914,34.63768115942029,-9.999999999999996,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,Klebsiella_oxytoca_3GC,2018,Klebsiella_oxytoca,3GC,0.0,15.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,Klebsiella_oxytoca_AMG,2018,Klebsiella_oxytoca,AMG,0.0,10.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,Klebsiella_oxytoca_CARB,2018,Klebsiella_oxytoca,CARB,0.0,5.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,Klebsiella_oxytoca_FQ,2018,Klebsiella_oxytoca,FQ,0.0,5.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,13.01,0.3071,3.9953709999999996,0.4105309711855295
