country,combo,year,rf_forecast
Hungary,A_baumannii_FQ,2025,57.77
Hungary,A_baumannii_TET,2025,69.83
Israel,A_baumannii_3GC,2025,71.41
Israel,A_baumannii_AMG,2025,71.81
Israel,A_baumannii_CARB,2025,73.28
Israel,A_baumannii_COL,2025,1.55
Israel,A_baumannii_FQ,2025,71.41
Israel,A_baumannii_TET,2025,48.33
Italy,A_baumannii_3GC,2025,84.77
Italy,A_baumannii_AMG,2025,80.25
Italy,A_baumannii_CARB,2025,84.77
Italy,A_baumannii_COL,2025,10.93
Italy,A_baumannii_FQ,2025,84.77
Italy,A_baumannii_TET,2025,66.76
Japan,A_baumannii_3GC,2025,3.31
Japan,A_baumannii_AMG,2025,0.8
Japan,A_baumannii_CARB,2025,1.47
Japan,A_baumannii_COL,2025,0.8
Japan,A_baumannii_FQ,2025,0.57
Japan,A_baumannii_TET,2025,0.38
"Korea, South",A_baumannii_3GC,2025,98.79
"Korea, South",A_baumannii_AMG,2025,95.88
"Korea, South",A_baumannii_CARB,2025,98.79
"Korea, South",A_baumannii_COL,2025,0.0
"Korea, South",A_baumannii_FQ,2025,98.79
"Korea, South",A_baumannii_TET,2025,47.39
Lithuania,A_baumannii_3GC,2025,89.31
Lithuania,A_baumannii_AMG,2025,89.19
Lithuania,A_baumannii_CARB,2025,89.31
Lithuania,A_baumannii_COL,2025,4.51
Lithuania,A_baumannii_FQ,2025,89.31
Lithuania,A_baumannii_TET,2025,89.01
Malaysia,A_baumannii_3GC,2025,78.9
Malaysia,A_baumannii_AMG,2025,74.54
Malaysia,A_baumannii_CARB,2025,78.9
Malaysia,A_baumannii_COL,2025,0.0
Malaysia,A_baumannii_FQ,2025,70.62
Malaysia,A_baumannii_TET,2025,50.05
Mexico,A_baumannii_3GC,2025,70.42
Mexico,A_baumannii_AMG,2025,36.26
Mexico,A_baumannii_CARB,2025,70.42
Mexico,A_baumannii_COL,2025,1.48
Mexico,A_baumannii_FQ,2025,70.42
Mexico,A_baumannii_TET,2025,25.36
Philippines,A_baumannii_3GC,2025,8.92
Philippines,A_baumannii_AMG,2025,6.54
Philippines,A_baumannii_CARB,2025,7.91
Philippines,A_baumannii_COL,2025,0.8
Philippines,A_baumannii_FQ,2025,48.17
Philippines,A_baumannii_TET,2025,40.26
Poland,A_baumannii_3GC,2025,66.67
Poland,A_baumannii_AMG,2025,66.65
Poland,A_baumannii_CARB,2025,69.25
Poland,A_baumannii_COL,2025,7.61
Poland,A_baumannii_FQ,2025,75.86
Poland,A_baumannii_TET,2025,66.18
Portugal,A_baumannii_3GC,2025,10.85
Portugal,A_baumannii_AMG,2025,0.88
Portugal,A_baumannii_CARB,2025,11.85
Portugal,A_baumannii_COL,2025,0.77
Portugal,A_baumannii_FQ,2025,11.91
Portugal,A_baumannii_TET,2025,1.42
Romania,A_baumannii_3GC,2025,89.39
Romania,A_baumannii_AMG,2025,71.82
Romania,A_baumannii_CARB,2025,89.39
Romania,A_baumannii_COL,2025,0.82
Romania,A_baumannii_FQ,2025,89.39
Romania,A_baumannii_TET,2025,30.32
Russia,A_baumannii_3GC,2025,97.29
Russia,A_baumannii_AMG,2025,86.25
Russia,A_baumannii_CARB,2025,92.93
Russia,A_baumannii_COL,2025,0.0
Russia,A_baumannii_FQ,2025,97.46
Russia,A_baumannii_TET,2025,65.34
Spain,A_baumannii_3GC,2025,14.71
Spain,A_baumannii_AMG,2025,1.13
Spain,A_baumannii_CARB,2025,12.42
Spain,A_baumannii_COL,2025,0.75
Spain,A_baumannii_FQ,2025,20.88
Spain,A_baumannii_TET,2025,11.04
Taiwan,A_baumannii_3GC,2025,15.28
Taiwan,A_baumannii_AMG,2025,18.34
Taiwan,A_baumannii_CARB,2025,25.93
Taiwan,A_baumannii_COL,2025,0.0
Taiwan,A_baumannii_FQ,2025,15.28
Taiwan,A_baumannii_TET,2025,1.98
Thailand,A_baumannii_3GC,2025,96.02
Thailand,A_baumannii_AMG,2025,70.5
Thailand,A_baumannii_CARB,2025,96.02
Thailand,A_baumannii_COL,2025,0.79
Thailand,A_baumannii_FQ,2025,96.28
Thailand,A_baumannii_TET,2025,62.38
Turkey,A_baumannii_3GC,2025,91.57
Turkey,A_baumannii_AMG,2025,71.68
Turkey,A_baumannii_CARB,2025,90.03
Turkey,A_baumannii_COL,2025,3.4
Turkey,A_baumannii_FQ,2025,90.03
Turkey,A_baumannii_TET,2025,84.26
Ukraine,A_baumannii_3GC,2025,71.27
Ukraine,A_baumannii_AMG,2025,74.41
Ukraine,A_baumannii_CARB,2025,78.59
Ukraine,A_baumannii_COL,2025,0.62
Ukraine,A_baumannii_FQ,2025,71.27
Ukraine,A_baumannii_TET,2025,67.08
United Kingdom,A_baumannii_3GC,2025,4.38
United Kingdom,A_baumannii_AMG,2025,3.91
United Kingdom,A_baumannii_CARB,2025,4.38
United Kingdom,A_baumannii_COL,2025,1.46
United Kingdom,A_baumannii_FQ,2025,4.38
United Kingdom,A_baumannii_TET,2025,3.76
United States,A_baumannii_3GC,2025,41.1
United States,A_baumannii_AMG,2025,20.99
United States,A_baumannii_CARB,2025,38.05
United States,A_baumannii_COL,2025,1.7
United States,A_baumannii_FQ,2025,41.1
United States,A_baumannii_TET,2025,32.2
Vietnam,A_baumannii_3GC,2025,81.23
Vietnam,A_baumannii_AMG,2025,81.23
Vietnam,A_baumannii_CARB,2025,89.22
Vietnam,A_baumannii_COL,2025,0.81
Vietnam,A_baumannii_FQ,2025,81.23
Vietnam,A_baumannii_TET,2025,68.67
Argentina,A_baumannii_3GC,2026,92.71
Argentina,A_baumannii_AMG,2026,6.93
Argentina,A_baumannii_CARB,2026,96.73
Argentina,A_baumannii_COL,2026,10.87
Argentina,A_baumannii_FQ,2026,96.73
Argentina,A_baumannii_TET,2026,71.26
Australia,A_baumannii_3GC,2026,15.57
Australia,A_baumannii_AMG,2026,12.26
Australia,A_baumannii_CARB,2026,0.86
Australia,A_baumannii_COL,2026,3.34
Australia,A_baumannii_FQ,2026,15.41
Australia,A_baumannii_TET,2026,7.6
Belgium,A_baumannii_3GC,2026,55.24
Belgium,A_baumannii_AMG,2026,8.71
Belgium,A_baumannii_CARB,2026,8.71
Belgium,A_baumannii_COL,2026,12.16
Belgium,A_baumannii_FQ,2026,70.34
Belgium,A_baumannii_TET,2026,21.55
Brazil,A_baumannii_3GC,2026,92.31
Brazil,A_baumannii_AMG,2026,97.29
Brazil,A_baumannii_CARB,2026,92.13
Brazil,A_baumannii_COL,2026,3.44
Brazil,A_baumannii_FQ,2026,92.31
Brazil,A_baumannii_TET,2026,85.93
Chile,A_baumannii_3GC,2026,61.09
Chile,A_baumannii_AMG,2026,55.91
Chile,A_baumannii_CARB,2026,22.08
Chile,A_baumannii_COL,2026,3.33
Chile,A_baumannii_FQ,2026,56.15
Chile,A_baumannii_TET,2026,11.03
Colombia,A_baumannii_3GC,2026,4.72
Colombia,A_baumannii_AMG,2026,3.44
Colombia,A_baumannii_CARB,2026,59.36
Colombia,A_baumannii_COL,2026,3.44
Colombia,A_baumannii_FQ,2026,3.44
Colombia,A_baumannii_TET,2026,3.39
Croatia,A_baumannii_3GC,2026,74.23
Croatia,A_baumannii_AMG,2026,94.75
Croatia,A_baumannii_CARB,2026,74.23
Croatia,A_baumannii_COL,2026,0.34
Croatia,A_baumannii_FQ,2026,74.23
Croatia,A_baumannii_TET,2026,94.75
Czech Republic,A_baumannii_3GC,2026,46.88
Czech Republic,A_baumannii_AMG,2026,46.19
Czech Republic,A_baumannii_CARB,2026,49.92
Czech Republic,A_baumannii_COL,2026,3.58
Czech Republic,A_baumannii_FQ,2026,46.88
Czech Republic,A_baumannii_TET,2026,42.28
France,A_baumannii_3GC,2026,34.49
France,A_baumannii_AMG,2026,0.84
France,A_baumannii_CARB,2026,24.73
France,A_baumannii_COL,2026,3.16
France,A_baumannii_FQ,2026,41.31
France,A_baumannii_TET,2026,39.04
Germany,A_baumannii_3GC,2026,26.36
Germany,A_baumannii_AMG,2026,19.0
Germany,A_baumannii_CARB,2026,17.17
Germany,A_baumannii_COL,2026,4.39
Germany,A_baumannii_FQ,2026,1.6
Germany,A_baumannii_TET,2026,5.14
Greece,A_baumannii_3GC,2026,94.99
Greece,A_baumannii_AMG,2026,94.99
Greece,A_baumannii_CARB,2026,94.99
Greece,A_baumannii_COL,2026,27.59
Greece,A_baumannii_FQ,2026,94.99
Greece,A_baumannii_TET,2026,99.02
Guatemala,A_baumannii_3GC,2026,97.56
Guatemala,A_baumannii_AMG,2026,90.6
Guatemala,A_baumannii_CARB,2026,97.56
Guatemala,A_baumannii_COL,2026,3.54
Guatemala,A_baumannii_FQ,2026,97.56
Guatemala,A_baumannii_TET,2026,71.13
Hungary,A_baumannii_3GC,2026,92.64
Hungary,A_baumannii_AMG,2026,92.48
Hungary,A_baumannii_CARB,2026,35.26
Hungary,A_baumannii_COL,2026,3.61
Hungary,A_baumannii_FQ,2026,57.79
Hungary,A_baumannii_TET,2026,72.31
Israel,A_baumannii_3GC,2026,69.14
Israel,A_baumannii_AMG,2026,69.93
Israel,A_baumannii_CARB,2026,71.7
Israel,A_baumannii_COL,2026,3.4
Israel,A_baumannii_FQ,2026,69.14
Israel,A_baumannii_TET,2026,47.86
Italy,A_baumannii_3GC,2026,84.8
Italy,A_baumannii_AMG,2026,81.24
Italy,A_baumannii_CARB,2026,84.8
Italy,A_baumannii_COL,2026,11.42
Italy,A_baumannii_FQ,2026,84.8
Italy,A_baumannii_TET,2026,63.43
Japan,A_baumannii_3GC,2026,4.53
Japan,A_baumannii_AMG,2026,3.3
Japan,A_baumannii_CARB,2026,3.35
Japan,A_baumannii_COL,2026,3.3
Japan,A_baumannii_FQ,2026,0.39
Japan,A_baumannii_TET,2026,0.1
"Korea, South",A_baumannii_3GC,2026,98.76
"Korea, South",A_baumannii_AMG,2026,98.19
"Korea, South",A_baumannii_CARB,2026,98.76
"Korea, South",A_baumannii_COL,2026,0.0
"Korea, South",A_baumannii_FQ,2026,98.72
"Korea, South",A_baumannii_TET,2026,47.62
Lithuania,A_baumannii_3GC,2026,88.69
Lithuania,A_baumannii_AMG,2026,88.68
Lithuania,A_baumannii_CARB,2026,88.69
Lithuania,A_baumannii_COL,2026,5.66
Lithuania,A_baumannii_FQ,2026,88.69
Lithuania,A_baumannii_TET,2026,88.52
Malaysia,A_baumannii_3GC,2026,82.29
Malaysia,A_baumannii_AMG,2026,76.61
Malaysia,A_baumannii_CARB,2026,82.29
Malaysia,A_baumannii_COL,2026,0.0
Malaysia,A_baumannii_FQ,2026,70.8
Malaysia,A_baumannii_TET,2026,57.66
Mexico,A_baumannii_3GC,2026,77.96
Mexico,A_baumannii_AMG,2026,39.17
Mexico,A_baumannii_CARB,2026,77.96
Mexico,A_baumannii_COL,2026,3.45
Mexico,A_baumannii_FQ,2026,77.96
Mexico,A_baumannii_TET,2026,21.56
Philippines,A_baumannii_3GC,2026,3.44
Philippines,A_baumannii_AMG,2026,2.55
Philippines,A_baumannii_CARB,2026,2.83
Philippines,A_baumannii_COL,2026,3.54
Philippines,A_baumannii_FQ,2026,49.29
Philippines,A_baumannii_TET,2026,51.05
Poland,A_baumannii_3GC,2026,63.77
Poland,A_baumannii_AMG,2026,63.9
Poland,A_baumannii_CARB,2026,65.59
Poland,A_baumannii_COL,2026,5.27
Poland,A_baumannii_FQ,2026,74.55
Poland,A_baumannii_TET,2026,64.4
Portugal,A_baumannii_3GC,2026,5.51
Portugal,A_baumannii_AMG,2026,0.35
Portugal,A_baumannii_CARB,2026,6.6
Portugal,A_baumannii_COL,2026,3.42
Portugal,A_baumannii_FQ,2026,6.41
Portugal,A_baumannii_TET,2026,0.71
Romania,A_baumannii_3GC,2026,88.99
Romania,A_baumannii_AMG,2026,66.97
Romania,A_baumannii_CARB,2026,88.99
Romania,A_baumannii_COL,2026,3.58
Romania,A_baumannii_FQ,2026,88.99
Romania,A_baumannii_TET,2026,33.19
Russia,A_baumannii_3GC,2026,98.17
Russia,A_baumannii_AMG,2026,91.99
Russia,A_baumannii_CARB,2026,96.49
Russia,A_baumannii_COL,2026,0.0
Russia,A_baumannii_FQ,2026,98.23
Russia,A_baumannii_TET,2026,69.66
Spain,A_baumannii_3GC,2026,12.01
Spain,A_baumannii_AMG,2026,0.45
Spain,A_baumannii_CARB,2026,10.37
Spain,A_baumannii_COL,2026,3.36
Spain,A_baumannii_FQ,2026,17.57
Spain,A_baumannii_TET,2026,8.72
Taiwan,A_baumannii_3GC,2026,8.05
Taiwan,A_baumannii_AMG,2026,13.04
Taiwan,A_baumannii_CARB,2026,23.84
Taiwan,A_baumannii_COL,2026,0.0
Taiwan,A_baumannii_FQ,2026,8.05
Taiwan,A_baumannii_TET,2026,0.84
Thailand,A_baumannii_3GC,2026,96.89
Thailand,A_baumannii_AMG,2026,70.64
Thailand,A_baumannii_CARB,2026,96.89
Thailand,A_baumannii_COL,2026,3.49
Thailand,A_baumannii_FQ,2026,96.92
Thailand,A_baumannii_TET,2026,67.45
Turkey,A_baumannii_3GC,2026,89.52
Turkey,A_baumannii_AMG,2026,77.92
Turkey,A_baumannii_CARB,2026,89.47
Turkey,A_baumannii_COL,2026,4.81
Turkey,A_baumannii_FQ,2026,89.47
Turkey,A_baumannii_TET,2026,90.41
Ukraine,A_baumannii_3GC,2026,64.53
Ukraine,A_baumannii_AMG,2026,76.91
Ukraine,A_baumannii_CARB,2026,80.97
Ukraine,A_baumannii_COL,2026,0.41
Ukraine,A_baumannii_FQ,2026,64.53
Ukraine,A_baumannii_TET,2026,70.1
United Kingdom,A_baumannii_3GC,2026,5.33
United Kingdom,A_baumannii_AMG,2026,4.84
United Kingdom,A_baumannii_CARB,2026,5.33
United Kingdom,A_baumannii_COL,2026,3.28
United Kingdom,A_baumannii_FQ,2026,5.33
United Kingdom,A_baumannii_TET,2026,4.62
United States,A_baumannii_3GC,2026,40.6
United States,A_baumannii_AMG,2026,21.85
United States,A_baumannii_CARB,2026,38.56
United States,A_baumannii_COL,2026,3.24
United States,A_baumannii_FQ,2026,40.17
United States,A_baumannii_TET,2026,34.28
Vietnam,A_baumannii_3GC,2026,73.72
Vietnam,A_baumannii_AMG,2026,73.72
Vietnam,A_baumannii_CARB,2026,92.58
Vietnam,A_baumannii_COL,2026,3.52
Vietnam,A_baumannii_FQ,2026,73.72
Vietnam,A_baumannii_TET,2026,70.62
Argentina,A_baumannii_3GC,2027,96.07
Argentina,A_baumannii_AMG,2027,2.54
Argentina,A_baumannii_CARB,2027,97.67
Argentina,A_baumannii_COL,2027,10.98
Argentina,A_baumannii_FQ,2027,97.67
Argentina,A_baumannii_TET,2027,74.41
Australia,A_baumannii_3GC,2027,16.65
Australia,A_baumannii_AMG,2027,13.14
Australia,A_baumannii_CARB,2027,0.48
Australia,A_baumannii_COL,2027,4.36
Australia,A_baumannii_FQ,2027,16.65
Australia,A_baumannii_TET,2027,9.93
Belgium,A_baumannii_3GC,2027,63.16
Belgium,A_baumannii_AMG,2027,6.86
Belgium,A_baumannii_CARB,2027,6.71
Belgium,A_baumannii_COL,2027,12.93
Belgium,A_baumannii_FQ,2027,73.82
Belgium,A_baumannii_TET,2027,23.74
Brazil,A_baumannii_3GC,2027,92.98
Brazil,A_baumannii_AMG,2027,97.29
Brazil,A_baumannii_CARB,2027,92.9
Brazil,A_baumannii_COL,2027,4.7
Brazil,A_baumannii_FQ,2027,92.98
Brazil,A_baumannii_TET,2027,93.53
