country,year,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access
Russia,2018,11211.8876953125,5.35520792,56.2284633891692,4.097,7.14,74.5442926137992,13.1584362579663,35.3,96.7208870647795
Russia,2019,11447.701171875,5.64849091,56.534956616631,4.165,7.03,74.6222859951926,13.1584362579663,35.7,96.7474557360286
Russia,2020,10108.3271484375,8.04076004,56.8555396821504,3.807,7.05,74.6932216791674,13.1584362579663,33.7,96.7753426009288
Russia,2021,12425.029296875,7.0299139,57.180862996159,5.087,6.99,74.7516840220252,13.1584362579663,35.1,96.8045794762189
Russia,2022,15619.6142578125,6.8788662,57.5108013300593,5.111,6.84,74.8544893625017,13.1584362579663,33.9,96.8350937043226
Russia,2023,14159.3876953125,7.04438496,57.8457778254531,,6.81,74.9805047873279,13.171076035897,33.0,96.8670125138165
Sweden,2015,51188.1652120493,10.93069172,95.2630201394736,4.174,2.44,86.6158654081858,7.43498868578537,29.2,99.6710064082341
Sweden,2016,51703.5088332851,10.95692444,95.2738924949117,4.233,2.34,87.0,7.41674708031197,29.6,99.6830482298688
Sweden,2017,53210.2233318965,10.94730949,95.2844239004502,4.269,2.21,87.237373786911,7.39330060221358,28.8,99.694829304649
Sweden,2018,54018.4554391861,11.09132671,95.2944534569883,4.322,2.13,87.4737430925296,7.36634329022193,30.0,99.7063476379423
Sweden,2019,51648.9892820514,10.93444347,95.3040097275388,4.288,2.07,87.7088420242759,7.37821646042035,29.3,99.7175968808231
Sweden,2020,52568.5726980146,11.42458725,95.3131151369248,4.322,2.05,87.9424046895699,7.38067177371833,28.9,99.7286050632105
Sweden,2021,60647.5416365347,11.23013592,95.3217624060779,4.408,2.0,88.1741651958315,7.3733058338244,29.8,99.7393684296399
Sweden,2022,54836.8907235124,10.85505676,95.3300124921534,,1.9,88.4038576504809,7.35366332744058,31.6,99.7499137536867
Sweden,2023,54950.2834725622,11.152915,95.3415843632483,,,88.631216160938,7.32192403074128,29.3,99.7602354276088
Turkey,2015,11064.6494504662,4.11690426,63.3428453001823,1.765,2.62,87.2167107972537,50.0903031326741,42.9,95.1990408276222
Turkey,2016,10984.3643169061,4.28469229,65.0542537692526,1.774,2.67,88.1020958581776,49.8005535127269,41.9,95.3562997823
Turkey,2017,10756.3877677883,4.17974997,66.8080407473976,1.805,2.72,88.0320472717286,49.3275989761314,43.5,95.5101526427098
Turkey,2018,9684.11819884721,4.12101603,68.6040287984082,1.814,2.75,88.1655749576173,49.1171082208334,42.4,95.6607630886075
Turkey,2019,9395.23378001368,4.35954332,70.4421777378061,1.884,2.78,88.6618152857124,49.0053662149344,43.8,95.8081999457908
Turkey,2020,8798.11791709313,4.61640215,72.3191660966207,1.989,2.92,88.9303114965222,49.0651351948339,43.0,95.9525757495893
Turkey,2021,9981.76398411336,4.56065559,73.9189962763872,2.118,2.94,89.1762048153239,49.4900146823798,44.4,95.9614082696356
Turkey,2022,10897.8397861365,3.70338893,75.543162457051,2.236,3.01,89.0381164550781,50.0253368501748,44.5,95.9700345956399
Turkey,2023,13375.0947282864,4.27524424,77.191657124415,,3.05,89.0218446796121,50.1383781817237,43.7,95.9784417716969
United States,2015,56572.9188996063,16.40155411,96.936314954317,,2.75,80.5707989535091,46.519708562633,41.5,99.4293350987693
United States,2016,57638.1018367192,16.69203949,96.9385336178756,,2.72,80.4976645324131,46.613053451137,41.3,99.509898178586
United States,2017,59635.0984397965,16.63827515,96.9415406180243,,2.8,80.4018678392891,46.7063983396411,41.4,99.5893429085867
United States,2018,62499.8744390068,16.51312637,96.9453371131465,2.548,2.76,80.2804567987377,46.5817145490204,41.8,99.6675822614626
United States,2019,64746.4506778863,16.54486084,96.9499539004944,3.482,2.72,80.1304793353594,46.4570307583996,41.9,99.7446316773149
United States,2020,63515.9491807833,18.51597404,96.9553810977775,3.518,2.71,79.997451762548,46.3323469677789,40.0,99.8204204612721
United States,2021,70205.050916026,17.35207748,96.9616503364943,3.575,2.7,80.0074765140272,46.2076631880902,39.7,99.894943997231
United States,2022,76657.2488844403,16.52875137,96.9687421072789,3.681,2.68,80.0324978239707,46.0829793974695,41.7,99.9641146737575
United States,2023,81032.262117545,16.69414902,96.976678277341,,,80.071561119178,46.0829793974695,41.8,99.9804979047021
Belarus,2015,,,,,,,,,
Belgium,2015,,,,,,,,,
Czech Republic,2015,,,,,,,,,
Greece,2015,,,,,,,,,
Hungary,2015,,,,,,,,,
Ireland,2015,,,,,,,,,
Romania,2015,,,,,,,,,
Slovenia,2015,,,,,,,,,
